hour_beginning	pedestrians	to_manhattan	to_brooklyn	weather_summary	temperature	precipitation	events
10/1/2017 0:00	44	30	14	clear-night	52	0.0001	
10/1/2017 1:00	30	17	13	partly-cloudy-night	53	0.0002	
10/1/2017 2:00	25	13	12	partly-cloudy-night	52	0	
10/1/2017 3:00	20	11	9	partly-cloudy-night	51	0	
10/1/2017 4:00	18	10	8	partly-cloudy-night	51	0	
10/1/2017 5:00	16	12	4	partly-cloudy-night	50	0	
10/1/2017 6:00	113	88	25	partly-cloudy-night	49	0.0001	
10/1/2017 7:00	199	72	127	clear-day	49	0	
10/1/2017 8:00	261	133	128	clear-day	50	0	
10/1/2017 9:00	845	504	341	clear-day	54	0	
10/1/2017 10:00	2478	1906	572	clear-day	57	0	
10/1/2017 11:00	3006	1277	1729	clear-day	60	0	
10/1/2017 12:00	2263	1233	1030	clear-day	62	0	
10/1/2017 13:00	2616	1447	1169	clear-day	64	0	
10/1/2017 14:00	2463	1339	1124	clear-day	65	0	
10/1/2017 15:00	2245	1189	1056	clear-day	66	0	
10/1/2017 16:00	2764	1040	1724	clear-day	67	0	
10/1/2017 17:00	2247	1140	1107	clear-day	67	0	
10/1/2017 18:00	2142	1091	1051	clear-day	66	0	
10/1/2017 19:00	899	298	601	clear-night	62	0	
10/1/2017 20:00	481	143	338	clear-night	59	0	
10/1/2017 21:00	275	117	158	clear-night	57	0	
10/1/2017 22:00	133	53	80	clear-night	55	0	
10/1/2017 23:00	104	68	36	clear-night	54	0	
10/2/2017 0:00	60	20	40	clear-night	53	0	
10/2/2017 1:00	27	15	12	clear-night	52	0	
10/2/2017 2:00	6	3	3	clear-night	51	0	
10/2/2017 3:00	8	5	3	clear-night	50	0	
10/2/2017 4:00	2	0	2	clear-night	49	0	
10/2/2017 5:00	19	13	6	clear-night	48	0	
10/2/2017 6:00	96	64	32	clear-night	49	0	
10/2/2017 7:00	182	81	101	clear-day	48	0	
10/2/2017 8:00	362	138	224	clear-day	50	0	
10/2/2017 9:00	536	293	243	clear-day	56	0	
10/2/2017 10:00	1071	645	426	clear-day	60	0	
10/2/2017 11:00	1617	860	757	clear-day	64	0	
10/2/2017 12:00	1756	829	927	clear-day	66	0	
10/2/2017 13:00	1753	898	855	clear-day	68	0	
10/2/2017 14:00	1719	885	834	clear-day	69	0	
10/2/2017 15:00	1637	867	770	clear-day	71	0	
10/2/2017 16:00	1883	1044	839	clear-day	71	0	
10/2/2017 17:00	1952	1072	880	clear-day	71	0	
10/2/2017 18:00	1659	1055	604	clear-day	69	0	
10/2/2017 19:00	773	319	454	clear-night	65	0	
10/2/2017 20:00	376	171	205	clear-night	62	0	
10/2/2017 21:00	301	142	159	clear-night	60	0	
10/2/2017 22:00	155	79	76	clear-night	58	0	
10/2/2017 23:00	78	46	32	clear-night	57	0	
10/3/2017 0:00	45	26	19	clear-night	55	0	
10/3/2017 1:00	17	12	5	clear-night	53	0	
10/3/2017 2:00	7	2	5	clear-night	52	0	
10/3/2017 3:00	5	2	3	clear-night	51	0	
10/3/2017 4:00	8	3	5	clear-night	51	0	
10/3/2017 5:00	22	14	8	clear-night	50	0	
10/3/2017 6:00	122	76	46	clear-night	50	0	
10/3/2017 7:00	230	96	134	clear-day	50	0	
10/3/2017 8:00	390	162	228	clear-day	52	0	
10/3/2017 9:00	616	341	275	clear-day	59	0	
10/3/2017 10:00	936	555	381	clear-day	62	0.0002	
10/3/2017 11:00	1517	799	718	clear-day	65	0.0003	
10/3/2017 12:00	1666	852	814	clear-day	67	0.0002	
10/3/2017 13:00	1572	792	780	partly-cloudy-day	67	0	
10/3/2017 14:00	1642	762	880	clear-day	68	0.0001	
10/3/2017 15:00	1686	901	785	clear-day	68	0	
10/3/2017 16:00	1572	824	748	clear-day	67	0	
10/3/2017 17:00	1695	996	699	clear-day	66	0	
10/3/2017 18:00	1478	893	585	clear-day	64	0	
10/3/2017 19:00	613	240	373	clear-night	61	0	
10/3/2017 20:00	341	160	181	clear-night	59	0	
10/3/2017 21:00	196	102	94	clear-night	58	0	
10/3/2017 22:00	134	65	69	clear-night	56	0	
10/3/2017 23:00	70	34	36	clear-night	55	0	
10/4/2017 0:00	28	14	14	clear-night	55	0	
10/4/2017 1:00	16	11	5	clear-night	53	0	
10/4/2017 2:00	11	7	4	clear-night	53	0	
10/4/2017 3:00	12	5	7	clear-night	52	0	
10/4/2017 4:00	11	6	5	clear-night	51	0	
10/4/2017 5:00	16	9	7	clear-night	51	0	
10/4/2017 6:00	106	68	38	clear-night	51	0	
10/4/2017 7:00	291	125	166	clear-night	50	0	
10/4/2017 8:00	412	159	253	clear-day	52	0	
10/4/2017 9:00	571	299	272	clear-day	57	0	
10/4/2017 10:00	1017	621	396	clear-day	62	0	
10/4/2017 11:00	1530	830	700	clear-day	65	0	
10/4/2017 12:00	1709	899	810	clear-day	68	0	
10/4/2017 13:00	1611	811	800	clear-day	71	0	
10/4/2017 14:00	1608	794	814	clear-day	73	0	
10/4/2017 15:00	1524	874	650	clear-day	74	0	
10/4/2017 16:00	1733	964	769	clear-day	74	0	
10/4/2017 17:00	1907	1135	772	clear-day	74	0	
10/4/2017 18:00	1739	1081	658	clear-day	72	0	
10/4/2017 19:00	737	278	459	clear-night	70	0	
10/4/2017 20:00	395	150	245	clear-night	69	0	
10/4/2017 21:00	264	135	129	clear-night	68	0	
10/4/2017 22:00	181	85	96	clear-night	68	0.0001	
10/4/2017 23:00	104	57	47	partly-cloudy-night	67	0.0001	
10/5/2017 0:00	41	15	26	clear-night	65	0	
10/5/2017 1:00	21	10	11	clear-night	64	0	
10/5/2017 2:00	3	3	0	partly-cloudy-night	64	0	
10/5/2017 3:00	3	0	3	partly-cloudy-night	64	0	
10/5/2017 4:00	2	1	1	partly-cloudy-night	64	0	
10/5/2017 5:00	19	12	7	partly-cloudy-night	63	0	
10/5/2017 6:00	101	54	47	partly-cloudy-night	63	0	
10/5/2017 7:00	307	133	174	partly-cloudy-night	63	0	
10/5/2017 8:00	338	126	212	partly-cloudy-day	63	0	
10/5/2017 9:00	687	392	295	clear-day	65	0	
10/5/2017 10:00	1081	640	441	clear-day	69	0.0009	
10/5/2017 11:00	1644	923	721	clear-day	73	0.0019	
10/5/2017 12:00	1705	817	888	rain	77	0.0272	
